C1,C2,C3,C4,C5,C6,Tarih
İyi,Boş zaman,Kimse yok,Hayır,Hayır,Evet,Fri Jan 29 2021 10:34:08 GMT+0300 (+03)
Nötr,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Fri Jan 29 2021 12:03:12 GMT+0300 (+03)
Gergin,Dinlenme,Aile Üyeleri,Evet,Evet,Bilmiyorum,Fri Jan 29 2021 14:06:49 GMT+0300 (+03)
Heyecanlı,Yeme / İçme,Aile Üyeleri,Bilmiyorum,Hayır,Evet,Fri Jan 29 2021 16:04:08 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Fri Jan 29 2021 20:47:20 GMT+0300 (+03)
Üzgün,Boş zaman,Aile Üyeleri,Evet,Evet,Hayır,Fri Jan 29 2021 23:42:52 GMT+0300 (+03)
Mutlu,Spor,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jan 30 2021 10:32:43 GMT+0300 (+03)
İyi,Temizlik,Kimse yok,Hayır,Hayır,Evet,Sat Jan 30 2021 14:17:54 GMT+0300 (+03)
Mutlu,Temizlik,Kimse yok,Hayır,Hayır,Evet,Sat Jan 30 2021 14:56:19 GMT+0300 (+03)
Mutlu,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jan 30 2021 15:30:37 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jan 30 2021 19:05:55 GMT+0300 (+03)
Memnun,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Sat Jan 30 2021 20:17:28 GMT+0300 (+03)
İyi,Diğer,Kimse yok,Bilmiyorum,Bilmiyorum,Evet,Sun Jan 31 2021 14:37:38 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Evet,Hayır,Evet,Sun Jan 31 2021 16:16:44 GMT+0300 (+03)
Mutlu,Müzik Dinlemek,Aile Üyeleri,Hayır,Hayır,Evet,Sun Jan 31 2021 18:02:12 GMT+0300 (+03)
Mutlu,Spor,Kimse yok,Hayır,Hayır,Evet,Sun Jan 31 2021 20:23:52 GMT+0300 (+03)
Kötü,İş,Meslektaş,Evet,Evet,Hayır,Mon Feb 01 2021 12:32:35 GMT+0300 (+03)
Gergin,İş,Meslektaş,Evet,Evet,Hayır,Mon Feb 01 2021 14:06:16 GMT+0300 (+03)
Yorgun,İş,Meslektaş,Hayır,Evet,Hayır,Mon Feb 01 2021 16:26:28 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Evet,Hayır,Hayır,Mon Feb 01 2021 19:35:40 GMT+0300 (+03)
Mutlu,Spor,Kimse yok,Hayır,Hayır,Evet,Mon Feb 01 2021 22:06:47 GMT+0300 (+03)
Nötr,Dinlenme,Arkadaşlar,Hayır,Evet,Hayır,Tue Feb 02 2021 10:05:08 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Evet,Evet,Tue Feb 02 2021 12:17:06 GMT+0300 (+03)
Gergin,Diğer,Birçok kişi,Evet,Evet,Bilmiyorum,Tue Feb 02 2021 15:29:03 GMT+0300 (+03)
Yorgun,Çalışma,Meslektaş,Hayır,Bilmiyorum,Bilmiyorum,Wed Feb 03 2021 10:05:19 GMT+0300 (+03)
Nötr,Çalışma,Meslektaş,Hayır,Bilmiyorum,Evet,Wed Feb 03 2021 12:16:04 GMT+0300 (+03)
