C1,C2,C3,C4,C5,C6,Tarih
Kızgın,Boş zaman,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Sun Mar 07 2021 20:10:37 GMT+0300 (+03)
Gergin,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Evet,Mon Mar 08 2021 11:51:08 GMT+0300 (+03)
Gergin,Video İzlemek,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Tue Mar 09 2021 15:18:26 GMT+0300 (+03)
Gergin,Video İzlemek,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Tue Mar 09 2021 15:50:11 GMT+0300 (+03)
Mutsuz,Spor,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Tue Mar 09 2021 15:51:07 GMT+0300 (+03)
Kötü,Boş zaman,Aile Üyeleri,Evet,Evet,Bilmiyorum,Wed Mar 10 2021 10:02:44 GMT+0300 (+03)
Kızgın,Dinlenme,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Wed Mar 10 2021 13:20:30 GMT+0300 (+03)
Gergin,Video İzlemek,Kimse yok,Bilmiyorum,Hayır,Evet,Thu Mar 11 2021 14:25:17 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Thu Mar 11 2021 17:13:41 GMT+0300 (+03)
Kızgın,Dinlenme,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Sat Mar 13 2021 10:49:01 GMT+0300 (+03)
Hasta,Boş zaman,Aile Üyeleri,Evet,Bilmiyorum,Bilmiyorum,Sat Mar 13 2021 21:23:47 GMT+0300 (+03)
Mutsuz,Sohbet,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sat Mar 13 2021 23:40:16 GMT+0300 (+03)
Gergin,Dinlenme,Aile Üyeleri,Evet,Bilmiyorum,Bilmiyorum,Fr Mar 12 2021 23:40:39 GMT+0300 (+03)
Üzgün,Çalışma,Kimse yok,Evet,Evet,Evet,Mon Mar 15 2021 14:08:01 GMT+0300 (+03)
Üzgün,Müzik Dinlemek,Kimse yok,Evet,Evet,Bilmiyorum,Mon Mar 15 2021 20:24:14 GMT+0300 (+03)
Kötü,Boş zaman,Kimse yok,Evet,Evet,Bilmiyorum,Mon Mar 15 2021 22:14:31 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Evet,Bilmiyorum,Bilmiyorum,Mon Mar 12 2021 00:49:00 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Evet,Evet,Hayır,Tue Mar 23 2021 11:38:14 GMT+0300 (+03)
İyi,Sohbet,Arkadaşlar,Evet,Evet,Bilmiyorum,Tue Mar 23 2021 14:14:29 GMT+0300 (+03)
İyi,İş,Birçok kişi,Evet,Evet,Bilmiyorum,Tue Mar 23 2021 16:16:39 GMT+0300 (+03)
Mutsuz,Dinlenme,Partner,Evet,Hayır,Hayır,Tue Mar 23 2021 19:20:57 GMT+0300 (+03)
İyi,Boş zaman,Kimse yok,Hayır,Bilmiyorum,,Wed Mar 24 2021 12:27:39 GMT+0300 (+03)
Mutlu,Temizlik,Kimse yok,Bilmiyorum,Hayır,Evet,Wed Mar 24 2021 16:27:23 GMT+0300 (+03)
Mutlu,Temizlik,Partner,Hayır,Hayır,Evet,Wed Mar 24 2021 20:54:15 GMT+0300 (+03)
Mutlu,Hobi,Partner,Hayır,Hayır,Evet,Wed Mar 24 2021 21:58:39 GMT+0300 (+03)
İyi,Çalışma,Yönetici,Hayır,Bilmiyorum,Hayır,Thu Mar 25 2021 14:48:10 GMT+0300 (+03)
İyi,Dinlenme,Partner,Hayır,Hayır,Hayır,Thu Mar 25 2021 20:20:54 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Evet,Bilmiyorum,Fri Mar 26 2021 14:51:48 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Fri Mar 26 2021 20:17:53 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Evet,Evet,Sat Mar 27 2021 13:12:55 GMT+0300 (+03)
İyi,Çalışma,Aile Üyeleri,Hayır,Evet,Evet,Sun Mar 28 2021 13:52:52 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Evet,Evet,Sun Mar 28 2021 17:40:35 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Evet,Hayır,Mon Mar 29 2021 11:08:59 GMT+0300 (+03)
Rahat,Çalışma,Meslektaş,Hayır,Hayır,Evet,Tue Apr 06 2021 10:36:56 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Bilmiyorum,Hayır,Bilmiyorum,Tue Apr 06 2021 12:48:38 GMT+0300 (+03)
Yorgun,Çalışma,Meslektaş,Evet,Hayır,Evet,Tue Apr 06 2021 18:54:14 GMT+0300 (+03)
Yorgun,Çalışma,Meslektaş,Evet,Hayır,Evet,Tue Apr 06 2021 18:54:30 GMT+0300 (+03)
Rahat,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Tue Apr 06 2021 20:16:26 GMT+0300 (+03)
Nötr,Çalışma,Meslektaş,Evet,Hayır,Bilmiyorum,Wed Apr 07 2021 16:21:27 GMT+0300 (+03)
Memnun,Çalışma,Meslektaş,Hayır,Hayır,Evet,Wed Apr 07 2021 16:22:42 GMT+0300 (+03)
Rahat,Dinlenme,Meslektaş,Hayır,Hayır,Evet,Wed Apr 07 2021 17:46:32 GMT+0300 (+03)
Rahat,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Wed Apr 07 2021 18:58:14 GMT+0300 (+03)
Hasta,Çalışma,Kimse yok,Evet,Hayır,Hayır,Wed Apr 07 2021 23:44:13 GMT+0300 (+03)
Memnun,Çalışma,Meslektaş,Hayır,Bilmiyorum,Evet,Thu Apr 08 2021 14:11:37 GMT+0300 (+03)
İyi,Çalışma,Arkadaşlar,Hayır,Hayır,Evet,Thu Apr 08 2021 14:12:07 GMT+0300 (+03)
Nötr,Diğer,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Thu Apr 08 2021 17:36:00 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Hayır,Evet,Thu Apr 08 2021 19:05:20 GMT+0300 (+03)
Endişeli,Çalışma,Meslektaş,Evet,Bilmiyorum,Hayır,Thu Apr 08 2021 19:06:11 GMT+0300 (+03)
Memnun,Çalışma,Kimse yok,Evet,Hayır,Evet,Fri Apr 09 2021 14:01:05 GMT+0300 (+03)
Nötr,Diğer,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 09 2021 16:36:05 GMT+0300 (+03)
Memnun,Çalışma,Kimse yok,Hayır,Hayır,Evet,Fri Apr 09 2021 18:02:05 GMT+0300 (+03)
Rahat,Boş zaman,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 09 2021 23:37:26 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sat Apr 10 2021 14:38:32 GMT+0300 (+03)
Enerjik,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Sat Apr 10 2021 16:26:15 GMT+0300 (+03)
Rahat,Sohbet,Arkadaşlar,Hayır,Hayır,Evet,Sat Apr 10 2021 19:51:04 GMT+0300 (+03)
Memnun,Farkındalık Çalışmaları,Arkadaşlar,Hayır,Hayır,Evet,Sat Apr 10 2021 20:53:59 GMT+0300 (+03)
Mutlu,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Sun Apr 11 2021 01:19:28 GMT+0300 (+03)
Rahat,Video İzlemek,Kimse yok,Hayır,Hayır,Bilmiyorum,Sun Apr 11 2021 03:13:26 GMT+0300 (+03)
Rahat,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sun Apr 11 2021 14:44:21 GMT+0300 (+03)
Mutlu,Diğer,Arkadaşlar,Hayır,Hayır,Evet,Sun Apr 11 2021 16:39:47 GMT+0300 (+03)
Nötr,Boş zaman,Kimse yok,Hayır,Hayır,Bilmiyorum,Sun Apr 11 2021 18:39:01 GMT+0300 (+03)
Nötr,Farkındalık Çalışmaları,Kimse yok,Hayır,Evet,Evet,Sun Apr 11 2021 20:33:52 GMT+0300 (+03)
Rahat,Video İzlemek,Aile Üyeleri,Evet,Hayır,Hayır,Sun Apr 11 2021 23:24:02 GMT+0300 (+03)
Nötr,Boş zaman,Aile Üyeleri,Evet,Hayır,Hayır,Sun Apr 11 2021 23:49:28 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Bilmiyorum,Hayır,Evet,Mon Apr 12 2021 11:01:56 GMT+0300 (+03)
Mutlu,Çalışma,Kimse yok,Hayır,Hayır,Evet,Mon Apr 12 2021 13:02:53 GMT+0300 (+03)
Rahat,Çalışma,Meslektaş,Hayır,Hayır,Evet,Mon Apr 12 2021 14:49:10 GMT+0300 (+03)
Nötr,Diğer,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Apr 12 2021 15:53:18 GMT+0300 (+03)\"
Nötr,Diğer,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Mon Apr 12 2021 18:02:18 GMT+0300 (+03)\"
Nötr,Diğer,Kimse yok,Bilmiiyorum,Bilmiyorum,Bilmiyorum,Mon Apr 12 2021 20:03:18 GMT+0300 (+03)\"
Rahat,Dinlenme,Kimse yok,Hayır,Bilmiyorum,Evet,Mon Apr 12 2021 22:42:18 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Sun Apr 04 2021 19:09:34 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Bilmiyorum,Hayır,Sun Apr 04 2021 19:10:00 GMT+0300 (+03)
Mutsuz,Sohbet,Aile Üyeleri,Evet,Bilmiyorum,Evet,Fri Apr 16 2021 12:06:42 GMT+0300 (+03)
Gergin,Boş zaman,Aile Üyeleri,Evet,Bilmiyorum,Evet,Fri Apr 16 2021 12:26:20 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Hayır,Evet,Fri Apr 16 2021 12:59:30 GMT+0300 (+03)
Gergin,Diğer,Aile Üyeleri,Evet,Bilmiyorum,Evet,Fri Apr 16 2021 15:21:56 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Hayır,Evet,Fri Apr 16 2021 16:03:14 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Bilmiyorum,Evet,Fri Apr 16 2021 16:38:04 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Fri Apr 16 2021 17:53:49 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Sat Apr 17 2021 14:07:53 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Sat Apr 17 2021 18:51:44 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Bilmiyorum,Bilmiyorum,Mon Apr 19 2021 19:48:52 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Tue Apr 20 2021 20:47:47 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Wed Apr 21 2021 17:20:58 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 23 2021 12:52:18 GMT+0300 (+03)
Mutsuz,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 23 2021 12:52:37 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 23 2021 12:53:06 GMT+0300 (+03)
Gergin,İş,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 23 2021 12:53:56 GMT+0300 (+03)
Gergin,Çalışma,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Fri Apr 23 2021 12:54:17 GMT+0300 (+03)
Mutsuz,Boş zaman,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Wed Apr 28 2021 16:20:48 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Bilmiyorum,Evet,Evet,Wed Apr 28 2021 18:26:22 GMT+0300 (+03)
Mutlu,Temizlik,Yabancılar,Hayır,Hayır,Hayır,Tue May 11 2021 10:20:36 GMT+0300 (+03)
Mutlu,İş,Kimse yok,Hayır,Hayır,Hayır,Tue May 11 2021 12:03:50 GMT+0300 (+03)
Mutlu,İş,Kimse yok,Hayır,Hayır,Hayır,Tue May 11 2021 14:05:00 GMT+0300 (+03)
Mutlu,İş,Kimse yok,Hayır,Hayır,Hayır,Tue May 11 2021 16:03:02 GMT+0300 (+03)
Gergin,Dinlenme,Kimse yok,Hayır,Hayır,Hayır,Tue May 11 2021 18:12:48 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Tue May 11 2021 20:54:27 GMT+0300 (+03)
Mutlu,Boş zaman,Kimse yok,Hayır,Hayır,Evet,Wed May 12 2021 08:57:36 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Wed May 12 2021 13:02:58 GMT+0300 (+03)
Mutlu,Dinlenme,Kimse yok,Hayır,Hayır,Hayır,Wed May 12 2021 16:14:22 GMT+0300 (+03)
Mutlu,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Wed May 12 2021 12:57:36 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 13 2021 09:02:20 GMT+0300 (+03)
Gergin,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 13 2021 10:16:50 GMT+0300 (+03)
Nötr,Dinlenme,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Thu May 13 2021 12:02:02 GMT+0300 (+03)
Gergin,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 13 2021 13:43:02 GMT+0300 (+03)
İyi,İş,Meslektaş,Evet,Hayır,Evet,Mon May 17 2021 10:02:12 GMT+0300 (+03)
İyi,İş,Meslektaş,Evet,Evet,Hayır,Mon May 17 2021 12:02:55 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Evet,Hayır,Mon May 17 2021 14:08:35 GMT+0300 (+03)
Mutsuz,İş,Meslektaş,Evet,Evet,Hayır,Mon May 17 2021 16:05:48 GMT+0300 (+03)
Yorgun,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Mon May 17 2021 18:03:17 GMT+0300 (+03)
Rahat,Sohbet,Aile Üyeleri,Hayır,Hayır,Hayır,Mon May 17 2021 20:06:56 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Tue May 18 2021 10:04:08 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Tue May 18 2021 12:02:10 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Evet,Hayır,Tue May 18 2021 14:01:52 GMT+0300 (+03)
Mutsuz,İş,Meslektaş,Hayır,Evet,Hayır,Tue May 18 2021 16:02:31 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Hayır,Tue May 18 2021 18:02:09 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Tue May 18 2021 20:02:59 GMT+0300 (+03)
Mutlu,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Wed May 19 2021 10:05:17 GMT+0300 (+03)
İyi,İş,Aile Üyeleri,Hayır,Hayır,Evet,Wed May 19 2021 12:01:08 GMT+0300 (+03)
Mutlu,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Wed May 19 2021 16:02:02 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Wed May 19 2021 18:01:45 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Wed May 19 2021 20:01:32 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Hayır,Evet,Thu May 20 2021 10:02:13 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Thu May 20 2021 12:02:10 GMT+0300 (+03)
Mutlu,İş,Meslektaş,Hayır,Hayır,Hayır,Thu May 20 2021 14:01:51 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Evet,Hayır,Thu May 20 2021 16:01:34 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 20 2021 18:01:54 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Evet,Evet,Bilmiyorum,Fri May 21 2021 10:05:20 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Fri May 21 2021 12:01:37 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Fri May 21 2021 14:10:44 GMT+0300 (+03)
İyi,Çalışma,Meslektaş,Hayır,Evet,Hayır,Fri May 21 2021 16:01:32 GMT+0300 (+03)
Mutlu,Yeme / İçme,Arkadaşlar,Hayır,Hayır,Evet,Fri May 21 2021 18:05:34 GMT+0300 (+03)
Mutlu,Sohbet,Arkadaşlar,Hayır,Hayır,Evet,Fri May 21 2021 20:01:42 GMT+0300 (+03)
Mutlu,İş,Meslektaş,Hayır,Hayır,Evet,Sat May 22 2021 10:01:57 GMT+0300 (+03)
Mutlu,Çalışma,Meslektaş,Hayır,Evet,Evet,Sat May 22 2021 12:01:35 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sat May 22 2021 14:06:46 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Evet,Sat May 22 2021 16:01:57 GMT+0300 (+03)
Mutlu,Boş zaman,Aile Üyeleri,Hayır,Hayır,Evet,Sat May 22 2021 18:02:37 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Sun May 23 2021 10:01:58 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sun May 23 2021 12:01:45 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sun May 23 2021 14:03:20 GMT+0300 (+03)
İyi,Temizlik,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun May 23 2021 16:01:36 GMT+0300 (+03)
Mutsuz,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sun May 23 2021 18:05:41 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Hayır,Bilmiyorum,Sun May 23 2021 20:02:12 GMT+0300 (+03)
Mutlu,Dinlenme,Kimse yok,Hayır,Hayır,Hayır,Wed May 26 2021 10:27:10 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Wed May 26 2021 12:07:57 GMT+0300 (+03)
Yorgun,İş,Kimse yok,Hayır,Evet,Hayır,Wed May 26 2021 14:57:16 GMT+0300 (+03)
İyi,Yeme / İçme,Kimse yok,Hayır,Hayır,Hayır,Wed May 26 2021 18:06:13 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Hayır,Wed May 26 2021 20:05:42 GMT+0300 (+03)
Gergin,İş,Yabancılar,Evet,Evet,Hayır,Thu May 27 2021 10:02:05 GMT+0300 (+03)
Mutlu,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 27 2021 14:18:53 GMT+0300 (+03)
Mutlu,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Thu May 27 2021 16:23:13 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Evet,Hayır,Evet,Thu May 27 2021 21:45:02 GMT+0300 (+03)
Gergin,Çalışma,,Evet,Evet,Evet,Fri May 28 2021 10:13:56 GMT+0300 (+03)
Mutlu,Yeme / İçme,Kimse yok,Hayır,Hayır,Evet,Fri May 28 2021 13:43:57 GMT+0300 (+03)
Mutlu,İş,Kimse yok,Hayır,Hayır,Evet,Fri May 28 2021 14:59:59 GMT+0300 (+03)
İyi,Spor,Kimse yok,Hayır,Hayır,Evet,Fri May 28 2021 16:06:19 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Fri May 28 2021 18:17:10 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Fri May 28 2021 20:31:24 GMT+0300 (+03)
Mutlu,Spor,Kimse yok,Hayır,Hayır,Evet,Sat May 29 2021 10:16:46 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Hayır,Hayır,Evet,Sat May 29 2021 12:16:34 GMT+0300 (+03)
Mutlu,Yeme / İçme,Kimse yok,Hayır,Hayır,Evet,Sat May 29 2021 14:41:51 GMT+0300 (+03)
Mutlu,Dinlenme,Aile Üyeleri,Hayır,Hayır,Evet,Sat May 29 2021 16:02:59 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Evet,Hayır,Hayır,Sat May 29 2021 17:18:36 GMT+0300 (+03)
Gergin,İş,Aile Üyeleri,Evet,Evet,Evet,Sat May 29 2021 18:30:14 GMT+0300 (+03)
Nötr,Spor,Kimse yok,Evet,Hayır,Evet,Sun May 30 2021 11:53:15 GMT+0300 (+03)
Nötr,Dinlenme,Kimse yok,Evet,Hayır,Evet,Sun May 30 2021 12:17:17 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Sun May 30 2021 14:37:01 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Bilmiyorum,Bilmiyorum,Evet,Sun May 30 2021 18:11:33 GMT+0300 (+03)
Mutlu,İş,Aile Üyeleri,Hayır,Hayır,Evet,Sun May 30 2021 19:48:57 GMT+0300 (+03)
Gergin,İş,Aile Üyeleri,Evet,Evet,Bilmiyorum,Mon May 31 2021 10:17:46 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Evet,Hayır,Evet,Mon May 31 2021 13:48:38 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Mon May 31 2021 18:12:28 GMT+0300 (+03)
Mutlu,Spor,Aile Üyeleri,Hayır,Hayır,Hayır,Mon May 31 2021 20:34:03 GMT+0300 (+03)
İyi,Spor,Yabancılar,Hayır,Evet,Evet,Tue Jun 01 2021 10:26:39 GMT+0300 (+03)
Mutlu,İş,Meslektaş,Hayır,Hayır,Evet,Tue Jun 01 2021 12:17:27 GMT+0300 (+03)
İyi,İş,Meslektaş,Hayır,Hayır,Evet,Tue Jun 01 2021 14:16:47 GMT+0300 (+03)
Mutlu,İş,Meslektaş,Hayır,Hayır,Evet,Tue Jun 01 2021 16:32:31 GMT+0300 (+03)
Mutlu,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Hayır,Tue Jun 01 2021 18:16:39 GMT+0300 (+03)
İyi,Boş zaman,Kimse yok,Hayır,Hayır,Bilmiyorum,Wed Jun 02 2021 11:37:19 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Wed Jun 02 2021 11:37:55 GMT+0300 (+03)
İyi,Video İzlemek,Aile Üyeleri,Hayır,Hayır,Evet,Wed Jun 02 2021 12:05:51 GMT+0300 (+03)
Hasta,Çalışma,Kimse yok,Bilmiyorum,Evet,Evet,Wed Jun 02 2021 14:10:10 GMT+0300 (+03)
Endişeli,Çalışma,Kimse yok,Evet,Hayır,Evet,Wed Jun 02 2021 15:26:19 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Evet,Evet,Wed Jun 02 2021 16:01:36 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Hayır,Hayır,Evet,Wed Jun 02 2021 17:45:40 GMT+0300 (+03)
Gergin,Sohbet,Aile Üyeleri,Bilmiyorum,Evet,Bilmiyorum,Wed Jun 02 2021 20:02:13 GMT+0300 (+03)
Kötü,Çalışma,Kimse yok,Evet,Evet,Hayır,Wed Jun 02 2021 23:45:50 GMT+0300 (+03)
Yorgun,Boş zaman,Kimse yok,Bilmiyorum,Bilmiyorum,Bilmiyorum,Thu Jun 03 2021 11:01:01 GMT+0300 (+03)
İyi,Diğer,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jun 03 2021 12:13:21 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jun 03 2021 14:18:16 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Thu Jun 03 2021 16:17:58 GMT+0300 (+03)
İyi,Spor,Arkadaşlar,Hayır,Hayır,Evet,Thu Jun 03 2021 19:02:16 GMT+0300 (+03)
Üzgün,Yeme / İçme,Arkadaşlar,Bilmiyorum,Evet,Evet,Thu Jun 03 2021 19:51:18 GMT+0300 (+03)
Gergin,Sohbet,Arkadaşlar,Bilmiyorum,Bilmiyorum,Evet,Thu Jun 03 2021 20:13:34 GMT+0300 (+03)
Gergin,Spor,Arkadaşlar,Evet,Evet,Evet,Thu Jun 03 2021 21:01:11 GMT+0300 (+03)
Yorgun,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Thu Jun 03 2021 23:22:35 GMT+0300 (+03)
Kötü,Diğer,Kimse yok,Evet,Evet,Evet,Fri Jun 04 2021 11:58:56 GMT+0300 (+03)
Hasta,Çalışma,Kimse yok,Evet,Evet,Bilmiyorum,Fri Jun 04 2021 12:25:13 GMT+0300 (+03)
Mutsuz,Dinlenme,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Fri Jun 04 2021 15:30:03 GMT+0300 (+03)
Kötü,Dinlenme,Kimse yok,Evet,Evet,Bilmiyorum,Fri Jun 04 2021 16:02:19 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Fri Jun 04 2021 17:52:17 GMT+0300 (+03)
İyi,Dinlenme,Kimse yok,Bilmiyorum,Evet,Bilmiyorum,Fri Jun 04 2021 20:03:51 GMT+0300 (+03)
Kızgın,Temizlik,Kimse yok,Evet,Evet,Evet,Sat Jun 05 2021 10:04:53 GMT+0300 (+03)
Hasta,Yeme / İçme,Aile Üyeleri,Evet,Evet,Evet,Sat Jun 05 2021 12:12:14 GMT+0300 (+03)
İyi,Dinlenme,Evcil Dostlar,Bilmiyorum,Bilmiyorum,Evet,Sat Jun 05 2021 14:12:29 GMT+0300 (+03)
Kızgın,Sohbet,Aile Üyeleri,Evet,Evet,Bilmiyorum,Sat Jun 05 2021 16:26:07 GMT+0300 (+03)
İyi,Sohbet,Aile Üyeleri,Hayır,Hayır,Evet,Sat Jun 05 2021 18:20:01 GMT+0300 (+03)
İyi,Çalışma,Kimse yok,Hayır,Bilmiyorum,Bilmiyorum,Sat Jun 05 2021 22:13:32 GMT+0300 (+03)
İyi,Dinlenme,Aile Üyeleri,Hayır,Bilmiyorum,Evet,Sun Jun 06 2021 11:44:48 GMT+0300 (+03)
Üzgün,Dinlenme,Kimse yok,Evet,Evet,Bilmiyorum,Sun Jun 06 2021 12:17:45 GMT+0300 (+03)
İyi,Video İzlemek,Kimse yok,Hayır,Hayır,Evet,Sun Jun 06 2021 14:39:08 GMT+0300 (+03)
İyi,Yeme / İçme,Aile Üyeleri,Bilmiyorum,Hayır,Bilmiyorum,Sun Jun 06 2021 21:12:03 GMT+0300 (+03)
